y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
2.13,0.789,39.8,66.9,23.4,33.4,77.3,79.2,15.3,92.1,90.2
2.69,0.644,41.7,63.4,41.4,30.4,60.4,42.1,27.7,95.6,83.4
1.94,0.681,36.1,72.6,14.4,29.9,79.5,66,10.1,88.4,94
2.38,0.601,44.7,52.6,16.1,32,53.9,77.2,14.4,80.8,78.1
1.99,0.679,41.7,63.3,21.6,29.7,68.7,56.1,25.3,99.5,82.9
3.21,0.537,65.3,47.2,58.4,30.2,36.2,33.9,49.2,81.8,73.9
2.55,0.628,41.9,59.3,26,32.4,64.6,47.9,18.8,87.4,86.3
2.62,0.516,70.8,53.2,50.5,33,44.9,41.8,39.9,77.9,74.1
3.12,0.488,69.5,55.9,52.6,29.2,44.4,32.6,40.7,74.2,73.5
3.82,0.49,72.7,43.6,52.2,29.8,44.8,22.5,40.5,93.7,76.2
4.22,0.449,61.7,34.1,63.7,29.9,37,29.1,36.9,96.1,70.4
3.69,0.513,68.7,35.7,60.2,31.5,37.1,39.3,40.7,57,68.5
2.48,0.452,64.7,50.7,37.5,33.8,52.2,57.6,17.7,78.4,74.1
2.54,0.625,48,71.2,53.3,35.2,58.8,56.5,24.7,93.7,73.9
3.03,0.617,60.7,43.2,41.7,30.8,52.7,50.3,26.7,85,78.9
2.42,0.534,66.1,56.5,38.2,37,63,52.9,13.2,72.4,76.4
2.83,0.707,29.7,48.7,14,35.4,72.6,83.1,11.7,52.1,91.5
3.8,0.58,44.6,24.3,24.1,31.7,69.5,55.7,21.5,63.1,72.7
2.86,0.79,34.1,59.9,19.4,30.6,94,54.8,23.2,85,93.2
3.74,0.77,38.3,29.7,22.4,28.6,75.2,51.2,15.8,62.8,83.1
2.02,0.684,33.7,57.6,28.7,34.5,72.3,63.7,23,77.6,83.1
2.22,0.608,51.5,65.7,41.2,39,68.5,74.2,12.1,76.1,77.1
1.79,0.779,15.3,48.2,11.4,37.4,83.6,96.9,5.2,80.1,90.3
2.42,0.621,49.7,66.6,35.4,29.2,63.8,63.4,26.8,89.8,83
2.11,0.689,37.5,66.9,40.2,31.9,70.3,75.9,12.8,92.7,88.3
1.79,0.572,53.5,67.6,56.2,31.4,49.6,87.5,28.9,94,71.7
2.07,0.6,43.2,63.6,41,30.3,59.7,79.1,12.1,86.2,75.3
1.93,0.92,15.3,68.6,17.2,41.2,93,98.1,2,69.1,95.5
1.8,0.675,30.4,61.4,25.2,31.4,69.4,83.6,7.8,93.5,84.1